Text,Entities
Emma 2022 New York.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 18}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
January 2023 Amazon Boston.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}, {'entity': 'LOC', 'start': 20, 'end': 26}]"
Google Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
2024 January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}]"
2022 Sara.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}]"
"Tesla 2022 March 15, 2021.","[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'DATE', 'start': 11, 'end': 25}]"
OpenAI Alice David.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 18}]"
Emma Paris.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 10}]"
Sara Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
London John Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 17}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
2023 Emma OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'ORG', 'start': 10, 'end': 16}]"
Microsoft Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'PERSON', 'start': 10, 'end': 14}]"
January 2023 Amazon David.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}, {'entity': 'PERSON', 'start': 20, 'end': 25}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2022 David Emma.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}, {'entity': 'PERSON', 'start': 11, 'end': 15}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
"Paris March 15, 2021.","[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 20}]"
2024 Boston.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}]"
New York Sara Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'PERSON', 'start': 9, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 19}]"
Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 5}]"
Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
Boston David.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}]"
Google OpenAI Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
San Francisco Microsoft.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 23}]"
OpenAI OpenAI Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 20}]"
David Google.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
Sara Boston Boston.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 18}]"
London OpenAI.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
Microsoft Sara Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'PERSON', 'start': 10, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 24}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
New York London OpenAI.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'LOC', 'start': 9, 'end': 15}, {'entity': 'ORG', 'start': 16, 'end': 22}]"
"Paris 2022 March 15, 2021.","[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'DATE', 'start': 11, 'end': 25}]"
Microsoft Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'ORG', 'start': 10, 'end': 16}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
Emma London 2022.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'DATE', 'start': 12, 'end': 16}]"
"March 15, 2021 New York Alice.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'LOC', 'start': 15, 'end': 23}, {'entity': 'PERSON', 'start': 24, 'end': 29}]"
London Michael.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 14}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
Michael Boston 2022.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'LOC', 'start': 8, 'end': 14}, {'entity': 'DATE', 'start': 15, 'end': 19}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
